id;name;description;type@enum:achievement_type;category@enum:achievement_category;rarity@enum:achievement_rarity;icon;objectives;stages;rewards;prerequisiteAchievements;unlockLevel;points;sortOrder;hidden
ach_skill_005;技冠群雄;学习全部25个技能;cumulative;collection;legendary;icon_ach_skill;"[[""obj_1"",""learnSkill"",25]]";;"[[""achievementPoints"",0,50],[""item"",1,10]]";[];1;50;304;false
ach_skill_006;元素新手;使用技能10次;cumulative;combat;common;icon_ach_skill;"[[""obj_1"",""useSkill"",10]]";;"[[""achievementPoints"",0,5],[""item"",1,5]]";[];1;5;310;false
ach_skill_007;元素行者;使用技能100次;cumulative;combat;common;icon_ach_skill;"[[""obj_1"",""useSkill"",100]]";;"[[""achievementPoints"",0,10],[""item"",1,5]]";[];1;10;311;false
ach_skill_008;元素大师;使用技能500次;cumulative;combat;rare;icon_ach_skill;"[[""obj_1"",""useSkill"",500]]";;"[[""achievementPoints"",0,20],[""item"",1,5]]";[];1;20;312;false
ach_skill_009;元素之主;使用技能1000次;cumulative;combat;epic;icon_ach_skill;"[[""obj_1"",""useSkill"",1000]]";;"[[""achievementPoints"",0,30],[""item"",1,10]]";[];1;30;313;false
ach_explore_001;外勤新人;首次完成副本;oneTime;exploration;common;icon_ach_explore;"[[""obj_1"",""completeInstance"",1]]";;"[[""achievementPoints"",0,5],[""item"",1,5]]";[];1;5;400;false
ach_explore_002;勤勉外勤;完成10次副本;cumulative;exploration;common;icon_ach_explore;"[[""obj_1"",""completeInstance"",10]]";;"[[""achievementPoints"",0,10],[""item"",1,5]]";[];1;10;401;false
ach_explore_003;资深外勤;完成50次副本;cumulative;exploration;rare;icon_ach_explore;"[[""obj_1"",""completeInstance"",50]]";;"[[""achievementPoints"",0,20],[""item"",1,5]]";[];1;20;402;false
ach_explore_004;精英外勤;完成100次副本;cumulative;exploration;epic;icon_ach_explore;"[[""obj_1"",""completeInstance"",100]]";;"[[""achievementPoints"",0,35],[""item"",1,10]]";[];1;35;403;false
ach_explore_005;传奇外勤;完成500次副本;cumulative;exploration;legendary;icon_ach_explore;"[[""obj_1"",""completeInstance"",500]]";;"[[""achievementPoints"",0,60],[""item"",1,10]]";[];1;60;404;false
ach_social_001;切磋初体验;完成首次PVP切磋;oneTime;social;common;icon_ach_social;"[[""obj_1"",""pvpBattle"",1]]";;"[[""achievementPoints"",0,5],[""item"",1,5]]";[];1;5;500;false
ach_social_002;切磋爱好者;完成10次PVP切磋;cumulative;social;common;icon_ach_social;"[[""obj_1"",""pvpBattle"",10]]";;"[[""achievementPoints"",0,10],[""item"",1,5]]";[];1;10;501;false
ach_social_003;竞技高手;完成50次PVP切磋;cumulative;social;rare;icon_ach_social;"[[""obj_1"",""pvpBattle"",50]]";;"[[""achievementPoints"",0,20],[""item"",1,5]]";[];1;20;502;false
ach_social_004;竞技大师;完成100次PVP切磋;cumulative;social;epic;icon_ach_social;"[[""obj_1"",""pvpBattle"",100]]";;"[[""achievementPoints"",0,35],[""item"",1,10]]";[];1;35;503;false
ach_social_005;分享达人;分享游戏给好友;oneTime;social;common;icon_ach_social;"[[""obj_1"",""shareGame"",1]]";;"[[""achievementPoints"",0,10],[""item"",1,5]]";[];1;10;510;false
ach_login_001;每日签到;登录游戏;oneTime;growth;common;icon_ach_login;"[[""obj_1"",""login"",1]]";;"[[""achievementPoints"",0,5],[""item"",1,5]]";[];1;5;600;false
ach_login_002;勤勉学徒;累计登录7天;cumulative;growth;common;icon_ach_login;"[[""obj_1"",""login"",7]]";;"[[""achievementPoints"",0,10],[""item"",1,5]]";[];1;10;601;false
ach_login_003;坚持不懈;累计登录30天;cumulative;growth;rare;icon_ach_login;"[[""obj_1"",""login"",30]]";;"[[""achievementPoints"",0,20],[""item"",1,5]]";[];1;20;602;false
ach_login_004;风雨无阻;累计登录90天;cumulative;growth;epic;icon_ach_login;"[[""obj_1"",""login"",90]]";;"[[""achievementPoints"",0,40],[""item"",1,10]]";[];1;40;603;false
ach_login_005;元素守护者;累计登录180天;cumulative;growth;legendary;icon_ach_login;"[[""obj_1"",""login"",180]]";;"[[""achievementPoints"",0,80],[""item"",1,10]]";[];1;80;604;false
ach_skill_upgrade_001;精益求精;首次升级技能;oneTime;collection;common;icon_ach_skill;"[[""obj_1"",""upgradeSkill"",1]]";;"[[""achievementPoints"",0,5],[""item"",1,5]]";[];1;5;320;false
ach_skill_upgrade_002;初露锋芒;5个技能升到3级;cumulative;collection;common;icon_ach_skill;"[[""obj_1"",""skillReachLevel3"",5]]";;"[[""achievementPoints"",0,15],[""item"",1,5]]";[];1;15;321;false
ach_skill_upgrade_003;技艺精进;15个技能升到3级;cumulative;collection;rare;icon_ach_skill;"[[""obj_1"",""skillReachLevel3"",15]]";;"[[""achievementPoints"",0,25],[""item"",1,5]]";[];1;25;322;false
ach_skill_upgrade_004;武学宗师;25个技能全部升到3级;cumulative;collection;epic;icon_ach_skill;"[[""obj_1"",""skillReachLevel3"",25]]";;"[[""achievementPoints"",0,40],[""item"",1,10]]";[];1;40;323;false
ach_skill_upgrade_005;登峰造极;1个技能升到5级;oneTime;collection;rare;icon_ach_skill;"[[""obj_1"",""skillReachLevel5"",1]]";;"[[""achievementPoints"",0,15],[""item"",1,5]]";[];1;15;330;false
ach_skill_upgrade_006;五行俱全;5个技能升到5级;cumulative;collection;epic;icon_ach_skill;"[[""obj_1"",""skillReachLevel5"",5]]";;"[[""achievementPoints"",0,30],[""item"",1,10]]";[];1;30;331;false
ach_skill_upgrade_007;满门精英;15个技能升到5级;cumulative;collection;legendary;icon_ach_skill;"[[""obj_1"",""skillReachLevel5"",15]]";;"[[""achievementPoints"",0,60],[""item"",1,10]]";[];1;60;332;false
ach_skill_upgrade_008;技惊四座;25个技能全部升到5级;cumulative;collection;legendary;icon_ach_skill;"[[""obj_1"",""skillReachLevel5"",25]]";;"[[""achievementPoints"",0,100],[""item"",1,10]]";[];1;100;333;false
ach_tower_001;试炼初体验;试炼塔达到第10层;oneTime;exploration;common;icon_ach_explore;"[[""obj_1"",""reachTowerFloor"",10]]";;"[[""achievementPoints"",0,10],[""item"",1,5]]";[];1;10;700;false
ach_tower_002;试炼新星;试炼塔达到第25层;oneTime;exploration;common;icon_ach_explore;"[[""obj_1"",""reachTowerFloor"",25]]";;"[[""achievementPoints"",0,15],[""item"",1,10]]";[];1;15;701;false
ach_tower_003;塔中勇士;试炼塔达到第50层;oneTime;exploration;rare;icon_ach_explore;"[[""obj_1"",""reachTowerFloor"",50]]";;"[[""achievementPoints"",0,25],[""item"",1,15]]";[];1;25;702;false
ach_tower_004;百层勇者;试炼塔达到第100层;oneTime;exploration;epic;icon_ach_explore;"[[""obj_1"",""reachTowerFloor"",100]]";;"[[""achievementPoints"",0,40],[""item"",1,20]]";[];1;40;703;false
ach_tower_005;高塔攀登者;试炼塔达到第150层;oneTime;exploration;epic;icon_ach_explore;"[[""obj_1"",""reachTowerFloor"",150]]";;"[[""achievementPoints"",0,50],[""item"",1,25]]";[];1;50;704;false
ach_tower_006;云端行者;试炼塔达到第200层;oneTime;exploration;legendary;icon_ach_explore;"[[""obj_1"",""reachTowerFloor"",200]]";;"[[""achievementPoints"",0,60],[""item"",1,30]]";[];1;60;705;false
ach_tower_007;天际征服者;试炼塔达到第250层;oneTime;exploration;legendary;icon_ach_explore;"[[""obj_1"",""reachTowerFloor"",250]]";;"[[""achievementPoints"",0,80],[""item"",1,35]]";[];1;80;706;false
ach_tower_008;无尽试炼;试炼塔达到第300层;oneTime;exploration;legendary;icon_ach_explore;"[[""obj_1"",""reachTowerFloor"",300]]";;"[[""achievementPoints"",0,100],[""item"",1,50]]";[];1;100;707;false
